Titulo;Descrição;Data Inicio;Data Fim;Responsável Nome;Responsável E-mail;Categoria;
Corte Grupo 09 Noven Verão 27;"Corte Grupo 09 Noven Verão 27; A data inicial é uma previsão, e a data final é um limite.";2026-05-05 00:00:00;2026-06-09 23:59:59;Produção;;"Noven; Verão 27; Desenvolvimento; Produção; Corte";26
Costura Jeans Grupo 09 Noven Verão 27;"Costura Jeans Grupo 09 Noven Verão 27; A data inicial é uma previsão, e a data final é um limite.";2026-06-23 00:00:00;2026-07-24 23:59:59;Produção;;"Noven; Verão 27; Produção; Costura; Jeans";24
Costura Moda Jeans Grupo 09 Noven Verão 27;"Costura Moda Jeans Grupo 09 Noven Verão 27; A data inicial é uma previsão, e a data final é um limite.";2026-06-23 00:00:00;2026-07-24 23:59:59;Produção;;"Noven; Verão 27; Produção; Costura; Moda Jeans";24
Costura Moda Grupo 09 Noven Verão 27;"Costura Moda Grupo 09 Noven Verão 27; A data inicial é uma previsão, e a data final é um limite.";2026-06-23 00:00:00;2026-08-18 23:59:59;Produção;;"Noven; Verão 27; Produção; Costura; Moda Jeans";41
Lavanderia Grupo 09 Noven Verão 27;"Lavanderia Grupo 09 Noven Verão 27; A data inicial é uma previsão, e a data final é um limite.";2026-07-16 00:00:00;2026-08-18 23:59:59;Produção;;"Noven; Verão 27; Produção; Lavanderia; Jeans; Moda Jeans";24
Acabamento Grupo 09 Noven Verão 27;"Acabamento Grupo 09 Noven Verão 27; A data inicial é uma previsão, e a data final é um limite.";2026-08-11 00:00:00;2026-09-11 23:59:59;Produção;;"Noven; Verão 27; Produção; Acabamento;";24
Expedição Grupo 09 Noven Verão 27;"Expedição Grupo 09 Noven Verão 27; A data inicial é uma previsão, e a data final é um limite.";2026-09-15 00:00:00;2026-09-15 23:59:59;Produção;;"Noven; Verão 27; Produção; Expedição";1
Liberação Lacre Vermelho Noven Verão 27 (Grupo 10);Liberação das peças de lacre vermelho da Noven Verão 27 grupo 10. A data inicial é uma previsão, e a data final é um limite.;2025-11-03 00:00:00;2026-05-19 23:59:59;PCP;;"Noven; Verão 27; Desenvolvimento; PCP; Produção";142
Corte Grupo 10 Noven Verão 27;"Corte Grupo 10 Noven Verão 27; A data inicial é uma previsão, e a data final é um limite.";2026-06-09 00:00:00;2026-07-09 23:59:59;Produção;;"Noven; Verão 27; Desenvolvimento; Produção; Corte";23
Costura Jeans Grupo 10 Noven Verão 27;"Costura Jeans Grupo 10 Noven Verão 27; A data inicial é uma previsão, e a data final é um limite.";2026-07-24 00:00:00;2026-08-27 23:59:59;Produção;;"Noven; Verão 27; Produção; Costura; Jeans";25
Costura Moda Jeans Grupo 10 Noven Verão 27;"Costura Moda Jeans Grupo 10 Noven Verão 27; A data inicial é uma previsão, e a data final é um limite.";2026-07-24 00:00:00;2026-08-27 23:59:59;Produção;;"Noven; Verão 27; Produção; Costura; Moda Jeans";25
Costura Moda Grupo 10 Noven Verão 27;"Costura Moda Grupo 10 Noven Verão 27; A data inicial é uma previsão, e a data final é um limite.";2026-06-23 00:00:00;2026-09-18 23:59:59;Produção;;"Noven; Verão 27; Produção; Costura; Moda Jeans";64
Lavanderia Grupo 10 Noven Verão 27;"Lavanderia Grupo 10 Noven Verão 27; A data inicial é uma previsão, e a data final é um limite.";2026-08-18 00:00:00;2026-09-18 23:59:59;Produção;;"Noven; Verão 27; Produção; Lavanderia; Jeans; Moda Jeans";24
Acabamento Grupo 10 Noven Verão 27;"Acabamento Grupo 10 Noven Verão 27; A data inicial é uma previsão, e a data final é um limite.";2026-09-11 00:00:00;2026-10-13 23:59:59;Produção;;"Noven; Verão 27; Produção; Acabamento;";23
Expedição Grupo 10 Noven Verão 27;"Expedição Grupo 10 Noven Verão 27; A data inicial é uma previsão, e a data final é um limite.";2026-10-15 00:00:00;2026-10-15 23:59:59;Produção;;"Noven; Verão 27; Produção; Expedição";1
Liberação Lacre Vermelho Noven Verão 27 (Grupo 11);Liberação das peças de lacre vermelho da Noven Verão 27 grupo 11. A data inicial é uma previsão, e a data final é um limite.;2025-11-03 00:00:00;2026-06-18 23:59:59;PCP;;"Noven; Verão 27; Desenvolvimento; PCP; Produção";164
Corte Grupo 11 Noven Verão 27;"Corte Grupo 11 Noven Verão 27; A data inicial é uma previsão, e a data final é um limite.";2026-07-09 00:00:00;2026-07-31 23:59:59;Produção;;"Noven; Verão 27; Desenvolvimento; Produção; Corte";17
Costura Jeans Grupo 11 Noven Verão 27;"Costura Jeans Grupo 11 Noven Verão 27; A data inicial é uma previsão, e a data final é um limite.";2026-08-27 00:00:00;2026-09-16 23:59:59;Produção;;"Noven; Verão 27; Produção; Costura; Jeans";15
Costura Moda Jeans Grupo 11 Noven Verão 27;"Costura Moda Jeans Grupo 11 Noven Verão 27; A data inicial é uma previsão, e a data final é um limite.";2026-08-27 00:00:00;2026-09-16 23:59:59;Produção;;"Noven; Verão 27; Produção; Costura; Moda Jeans";15
Costura Moda Grupo 11 Noven Verão 27;"Costura Moda Grupo 11 Noven Verão 27; A data inicial é uma previsão, e a data final é um limite.";2026-08-27 00:00:00;2026-10-08 23:59:59;Produção;;"Noven; Verão 27; Produção; Costura; Moda Jeans";31
Lavanderia Grupo 11 Noven Verão 27;"Lavanderia Grupo 11 Noven Verão 27; A data inicial é uma previsão, e a data final é um limite.";2026-09-18 00:00:00;2026-10-08 23:59:59;Produção;;"Noven; Verão 27; Produção; Lavanderia; Jeans; Moda Jeans";15
Acabamento Grupo 11 Noven Verão 27;"Acabamento Grupo 11 Noven Verão 27; A data inicial é uma previsão, e a data final é um limite.";2026-10-13 00:00:00;2026-11-04 23:59:59;Produção;;"Noven; Verão 27; Produção; Acabamento;";17
Expedição Grupo 11 Noven Verão 27;"Expedição Grupo 11 Noven Verão 27; A data inicial é uma previsão, e a data final é um limite.";2026-11-13 00:00:00;2026-11-13 23:59:59;Produção;;"Noven; Verão 27; Produção; Expedição";1
